Name,Breed,Sex,Size,Age (years)
Dumpling,Border Collie,female,medium,2
Cupcake,Bichon/Shih Tzu,female,small,13
Bella,Goldendoodle,female,large,10
Nova,Tibetan Mastiff,female,large,7
Peas,Bernese Mountain Dog/Great Pyrenees,male,large,8
Delilah, Shetland Sheepdog,female,medium,13
Dumbo,Toy Poodle,male,small,6
Maya,Toy Poodle,female,small,5
Toby,Goldendoodle,male,large,8
Sonny,Pitbull/Retriever,male,large,6
Cookie,Beagle Mix,male,small,8
Luna,Golden Retriever,female,medium,2
Buddy,Pomeranian Chihuahua,male,small,10
Maya, Cockerspaniel Toy Poodle Mix (Cockapoo),female,small,13
小點 (Dots), English Jack Russel Terrier,female,small,8
Teddy,Toy Poodle,male,small,0.6
